author,music,lyrics
Lady Gaga,Die With A Smile (feat. Bruno Mars),"OohII just woke up from a dreamWhere you and I had to say goodbyeAnd I don't know what it all meansBut since I survived, I realizedWherever you go, that's where I'll followNobody's promised tomorrowSo I'ma love you every night like it's the last nightLike it's the last nightIf the world was ending, I'd wanna be next to youIf the party was over and our time on Earth was throughI'd wanna hold you just for a whileAnd die with a smileIf the world was ending, I'd wanna be next to youWoo-oohOoh, lostLost in the words that we screamI don't even wanna do this anymore'Cause you already know what you mean to meAnd our love is the only war worth fighting forWherever you go, that's where I'll followNobody's promised tomorrowSo I'ma love you every night like it's the last nightLike it's the last nightIf the world was ending, I'd wanna be next to youIf the party was over and our time on Earth was throughI'd wanna hold you just for a whileAnd die with a smileIf the world was ending, I'd wanna be next to youRight next to youNext to youRight next to youOh-oh-ohIf the world was ending, I'd wanna be next to youIf the party was over and our time on Earth was throughI'd wanna hold you just for a whileAnd die with a smileIf the world was ending, I'd wanna be next to youIf the world was ending, I'd wanna be next to youOoh, oohI'd wanna be next to you"
Grelo,Só Fé,"O Grelo não precisa de muito, nãoSó peço a Deus muita saúdeE que Ele continue aí nos abençoando pra que a gente consiga comprarUm mé, o leitin dos menino e o Modess da muiéO resto é só féÉ o GreloLavei meu rosto nas águas sagradas da piaEu já tô pronto pra matar meu leão do diaDeus abençoe nóisE a nossa correriaHoje eu levantei da cama, tomei meu caféDei um beijo nas criança, eu coisei com a muiéTudo isso foi de graça, irmãoAs coisas boas são de graça, irmãoA vida é de boa, não preciso de muito pra ser feliz, nãoSó preciso de um dinheiro pra comprar um méO leitin das criança e o Modess da muiéO resto é só fé, só fé, só féO resto é só fé, só fé, só féSó preciso de um dinheiro pra comprar um méO leitin das criança e o Modess da muiéO resto é só fé, só fé, só féO resto é só fé, só fé, só féÉ o GreloLavei meu rosto nas águas sagradas da piaEu já tô pronto pra matar meu leão do diaDeus abençoe nóisE a nossa correriaHoje eu levantei da cama, tomei meu caféDei um beijo nas criança, eu coisei com a muiéTudo isso foi de graça, irmãoAs coisas boas são de graça, irmãoA vida é de boa, não preciso de muito pra ser feliz, nãoSó preciso de um dinheiro pra comprar um méO leitin das criança e o Modess da muiéO resto é só fé, só fé, só féO resto é só fé, só fé, só féSó preciso de um dinheiro pra comprar um méO leitin das criança e o Modess da muiéO resto é só fé, só fé, só féSó quem é humildade vai cantar assim, óSó preciso de um dinheiro pra comprar um méO leitin das criança e o Modess da muiéO resto é só fé, só fé, só féO resto é só fé, só fé, só féSó preciso de um dinheiro pra comprar um méO leitin das criança e o Modess da muiéO resto é só fé, só fé, só féO resto é só fé, só fé, só féMuita fé, fé, fé, fé, fé"
Linkin Park,The Emptiness Machine,"Your blades are sharpened with precision (precision)Flashing your favorite point of view (point of view)I know you're waiting in the distance (distance)Just like you always do, just like you always doAlready pulling me inAlready under my skinAnd I know exactly how this ends, ILet you cut me open just to watch me bleedGave up who I am for who you wanted me to beDon't know why I'm hoping for what I won't receiveFalling for the promise of the emptiness machineThe emptiness machineGoing around like a revolver (like a revolver)It's been decided how we lose (how we lose)'Cause there's a fire under the altar (the altar)I keep on lying to, I keep on lying toAlready pulling me inAlready under my skinAnd I know exactly how this ends, ILet you cut me open just to watch me bleedGave up who I am for who you wanted me to beDon't know why I'm hoping for what I won't receiveFalling for the promise of the emptiness machineI only wanted to be part of somethingI only wanted to be part of, part ofI only wanted to be part of somethingI only wanted to be part of, part ofI only wanted to be part of somethingI only wanted to be partI let you cut me open just to watch me bleedGave up who I am for who you wanted me to beDon't know why I'm hoping, so fucking naiveFalling for the promise of the emptiness machineThe emptiness machine(I only wanted to be part of something) the emptiness machine, oh(I only wanted to be part of) the emptiness machine"
Sued Silva,Reacende a Chama,"Cristo voltaráMuitos confiam em carrosE outros, em seus cavaleirosMuitos Te louvam com lábiosE o coração divididoPerdidos dentro da casa do PaiJá não se lembram que o Céu é realTão ocupados com coisas banaisAbra os nossos olhos espirituaisPor que pararam de falar do Céu?Acham que Cristo não vai mais voltar?Já não se fala tanto em oraçãoE santificação não querem mais pregarPor que pararam de falar do Céu?E só se fala em bens materiaisMas eu sei que dentro da igrejaExiste uma igreja espiritualLevanta essa geraçãoDesperta, igreja, em oraçãoFaz arder de novoReacende o fogoLevanta essa geraçãoTraz de volta a visãoOnde tudo começouDe volta ao primeiro amorCadê a geração que foi levantada por Ele?Por que pararam de falar do Céu?Acham que Cristo não vai mais voltar?Já não se fala tanto em oraçãoE santificação não querem mais pregarPor que pararam de falar do Céu?E só se fala em bens materiaisMas eu sei que dentro da igrejaExiste uma igreja, cadê você que tá aqui?Levanta essa geraçãoDesperta, igreja, em oraçãoFaz arder de novo(Reacende) diga, levantaLevanta essa geraçãoTraz de volta a visãoOnde tudo começouDe volta ao primeiro amorReacende a chamaVem nos restaurarComo em Atos 2(Desce aqui nesse lugar) digaReacende a chama(Vem nos restaurar) vem, DeusComo em Atos 2Desce aqui nesse lugarReacende a chama(Vem nos restaurar) vem nos restaurar(Como em Atos 2) desce(Desce aqui nesse lugar)(Reacende a chama) reacende, reacende(Vem nos restaurar) faz, Espírito de DeusComo em Atos 2Desce aqui nesse lugarCadê você que faz parte dessa geração?Levante a tua voz e diga issoLevanta essa geraçãoDesperta, igreja, ohE faz arder, faz arder, faz arder, diga: Levanta!(Levanta essa geração)(Traz de volta) traz de volta a visãoOnde tudo começouDe volta, de voltaLevanta essa geração(Desperta, igreja, em oração) diga(Faz arder de novo) reacende(Reacende o fogo) levanta, levantaLevanta essa geraçãoTraz de volta a visãoOnde tudo começouDe volta ao primeiro amorOh-oh-oh, oh-oh-ohOh-oh-oh, oh-oh-oh (diga!)Oh-oh-oh, oh-oh-ohOh-oh-oh, oh-oh-ohLevanta, DeusLevanta geração de mulheresLevanta geração de homensLevanta geração de adolescentesLevanta geração de jovensLevanta geração de criançasEis-me aqui, Senhor, levanta-nosLevanta essa geraçãoLevanta essa geraçãoNós estamos aquiNós estamos aquiEnvia-meEnvia-meDiga: Reacende a chamaVem nos restaurar(Como em Atos 2) diga: Desce(Desce aqui nesse lugar) diga isso, digaReacende a chama, olha Deus recebendo aí(Vem nos restaurar) a chama do teu coração(Como em Atos 2) você que tá aqui, você que tá aí, olha Deus reacendendo(Desce aqui nesse lugar) sente aí, sente aí, sente(Reacende a chama)(Vem nos restaurar)(Como em Atos 2) comece a ser cheio onde você estiver(Desce aqui nesse lugar)Reacende a chamaVem nos restaurarComo em Atos 2Desce aqui neste lugarDesce aqui neste lugar, lugar, lugarOnde você estiver, digaDesce aqui neste lugarOnde você estiverOnde você estiver escutando e cantandoDesce, Espírito Santo, desceDesce, Espírito Santo, desceRenova, Espírito SantoTraz a chama, Espírito SantoVem, Espírito SantoVem, vem, vem, vemDeus que levanta geraçãoDê um glória se você é essa geraçãoEita que eu sinto a presença aqui, irmão, uma presençaUma presença, uma presença, uma presençaUma presença, você não veio aqui em vão, Jesus quer te encher aquiHá uma presença de Deus aquiHá uma presença de Deus que te tocaHá uma presença de Deus, Maurício, aqui neste lugarUma presença que toca, uma presença que renovaDeus vai te encher, irmão, Deus vai te encherDeus vai te tocar, Deus vai te batizarDeus vai te renovarEle veio, Ele veioEle veio, Ele veioDeixa Ele te tocar, deixaDeixa Ele te encher, deixaOlha glória de Deus passando aíPassando, passandoDeixa, deixa, deixa, deixaDeixa, deixa, deixa, deixaDeixa, deixaDeixa Ele tocar, deixaDeixa Ele tocar, deixa, deixaVocê é essa geraçãoVocê é a geração que vai de contra e não a que é igualVocê é a geração que Deus chamou pra ser diferente, jovemVocê é a geração que, onde chegar, vai impactarPorque Deus te chamouOlha pra essa pessoa que tá do teu lado e fala: Deus te chamouPra ser soldadoE pra andar na contramão do mundoLevante a sua mão e adore a Deus aí"
Matuê,333,"(Yeah, yeah)(É um teste, hã)Mil cavalos, hoje eu tô voando (wow, wow, wow, wow)Num portal, chegando em outro planoVagando, eu vejo essa miragem, me dá saudadeVem que eu vou te elevando para um novo ano (wow)Em Fortal de novo, não me explana (yeah)Bem normal esse bolão de granaEu tava preso na viagem, tipo a cidadeAyy, vivendo mais um sonho, mais um desenganoCalculando os finais contra os meus rivaisSão todos iguais e, no fim, eu saio ganhandoA minha mente vai longeCê vai pra onde, meu bem? Onde, meu bem?Me dê sua marcaEntra nesse som, deixa esse som te abraçarVi-me concentrado antes que a onda bataOu você cresce com ela ou ela te mataClareando o ar, me dá visão pra eu continuarTô clareando o ar, além da visão, além da visão, forçaClareando o ar, me dá visão pra eu continuarTô clareando o ar, além da visão, além da visão, forçaYeah, yeah, yeahYeah, yeah, yeahYeah-yeah-yeah, yeah, yeahNão, não, não, não, não, nãoNessa vida nada é de graça, irmãoNada é muito fácil não, nada é muito fácil, irmãoEu sabia que eu ia ser rico (rich)Mas nunca que eu saberia o que vem com issoNa notícia, o jornalista expondo o meu filhoMil noites fazendo um sacrifício pra pagar o karma que herdei da minha família (yeah, yeah, yeah)De repente, te dá um tiro (baow)Seu irmão virando seu inimigo (yeah)Quer ser o vilão e acaba se destruindo (yeah)Minha consequência é carregar essa paranoia por ter meu estilo de vidaÉ por isso que eu tô no vício (vício)Tô pagando as promessas que eu fiz (fiz)Vim pro estúdio e coloquei no disco (disco)Minha vó disse que eu sou artista (disse)Que só o trabalho pode engrandecer o homem pra ele ser o que ele quisEu falei que ia fazer e fiz (fiz)Mas no começo foi difícil (yeah)Isso pra não dizer que foi tristeAgora existe outra visão fora disso (vixe)Esse ouro eu encontrei no lixoSai da minha bota, eu vou acelerar (yeah, yeah)Me deixa respirar (yeah), tava no meu lugar (lugar)Vocês vieram aqui me perturbarAgora eu não posso mais pararClareando o ar, me dá visão pra eu continuarTô clareando o ar, além da visão, além da visão, forçaClareando o ar, me dá visão pra eu continuarTô clareando o ar, além da visão, além da visão, força(É um teste, hã)Yeah-yeah, yeah, yeah"
Travis Scott,FE!N (feat. Playboi Carti),"Just come outsideFor the night (yeah)Take your timeGet your light (yeah)Johnny DangYeah, yeahI been out geekin'(Bitch)Fein, fein, fein, fein, fein (yeah)Fein, fein, fein, fein, fein (yeah)Fein, fein, fein, fein, feinFein, fein (yeah), fein, fein, feinThe career's more at stake when you in your prime (at stake)Fuck that paper, baby, my face on the dotted line (dot, yeah)I been flyin' out of town for some peace of mind (yeah, yeah, bitch)It's like always they just want a piece of mine (ah)I been focused on the future, never on right now (ah)What I'm sippin' not kombucha, either pink or brown (it's lit)I'm the one that introduced you to the you right now (mm, let's go)Oh my GodThat bitch bitin' (that bitch bitin')Well, alright (alright)Tryna vibe (I'm tryna vibe this)In the nightCome aliveAin't asleepAin't a, ain't a, ain't, ain'tFein, fein, fein, fein, feinFein, fein, fein, fein, feinFein, fein, fein, fein, feinFein, fein, fein, feinFein, fein, fein, fein, feinSyrupWoahWhat?What?(Homixide, Homixide, Homixide, Homixide) what? (Yeah)Woah, woah (yeah, yeah)(Homixide, Homixide, Homixide, Homixide) hit, yeah, hold up (yeah)Yeah, I just been poppin' my shit and gettin' it live, hold up (shit)Yeah, you try to come wrong 'bout this shit, we poppin' your tires, hold up (shit)Uh, hundred-round (woah), feelin' like I'm on tenPlayin' both sides with these hoes (hold up), shawty, I'm fuckin' your friend (hold up)I've been goin' crazy, shawty, I've been in the deep endShe not innocent, uh, she just tryna goFein (talkin' 'bout), fein, fein (yeah), fein, fein (syrup, oh, oh, what? Syrup)Fein, fein (syrup), fein, fein, fein (oh, oh)Fein, fein (talkin' 'bout), fein, fein, fein, fein (talkin' 'bout, let's go)I just been icin' my hoesI just been drippin' my hoes (drippin' my hoes)This is a whole 'nother level, shawty (oh)I got these hoes on they toes (hoes on they toes)I put the bitch on the road, she tryna fuck on the O, hold up, hold upI got this ho with me, she tryna show me somethin', hold up, hold up (oh)I got flows for days, these niggas ain't on nothin', hold up, yeah (oh)Me and my boy locked in, you know we on one, hold up, uh (slatt, slatt)We in the spot goin' crazy until the Sun upYou worried about that ho, that ho done chose up (slatt, bitch-ass)Uh, pistols all in the kitchen, can't give the zip code up, hold up, yeah (wow)Fein, fein, fein (huh? Huh? Huh? Huh? Yeah)Why the fuck these niggas actin' like they know us?Double O, Cactus, yeah, we towed up (skrrt, skrrt), uh, yeahSwitch out the bag, these niggas get rolled up, hold up (it's lit), slattEverything hit, hold upEverything Homixide, Homixide (Homixide, Homixide, Homixide, Homixide)Fein, fein, fein, fein, fein, fein(Homixide, Homixide, Homixide, Homixide, Homixide, Homixide, Homixide)"
Matuê,Maria,"(Yeah, yeah)(Yeah, yeah)A correria me obriga a irE eu só queria um tempo pra poder ficarA sua presença é o que me faz felizAntes eu achava normal ter que me maltratarSempre pondo a responsa em primeiro lugarEra eu contra o mundo, e nada mais vai me pararÉ tanta coisa que eu prefiro nem contarEsqueci tudo num segundo que ela veio me falarBaby, fica agora, baby, tá na hora (yeah, yeah)Baby, fica agora, baby, tá na hora (yeah, yeah)Fica agora (fica, fica)Baby, fica agora, baby, tá na hora (yeah, yeah)Viajar com você é a minha terapiaEm outra vida, eu já te conheciaTraz a vibe santa, sua luz me irradiaVocê é o Sol me dizendo: Bom dia (bom dia)Quem dera eu achasse a harmonia, o ritmoA melodia certa para acessar seu íntimoVocê é um anjo na terra, me diz qual seu signoSou só um homem que erra, será que eu sou digno?E ainda tô preso nessa correriaSempre que um dilema surge, eu me pergunto o que é que você fariaRainha da sabedoriaVem clarear a minha noite, me mostrar o caminho que antes eu não via (Maria)Hoje, você tá me esperando aquiPor isso, eu fico querendo voltarBaby, fica agora, baby, tá na hora (yeah, yeah)Baby, fica agora, baby, tá na hora (yeah, yeah)Fica agora (fica, fica)Baby, fica agora, baby, tá na hora (yeah, yeah)Baby, fica agora (yeah, yeah), baby, fica agora (yeah, yeah)Baby, baby, não chora, fica agora (yeah, yeah)(Baby, baby, yeah, yeah, yeah, yeah)Vive o agora, fica, fica"
Harpa Cristã,Porque Ele Vive,"Deus enviou Seu Filho amadoPra perdoar, pra me salvarNa cruz morreu por meus pecadosMas ressurgiu e vivo com o Pai estáPorque Ele vive, posso crer no amanhãPorque Ele vive, temor não háMas eu bem sei, eu sei que a minha vidaEstá nas mãos de meu Jesus, que vivo estáE quando, enfim, chegar a horaEm que a morte enfrentareiSem medo, então, terei vitóriaVerei na Glória, o meu Jesus que vivo estáPorque Ele vive, posso crer no amanhãPorque Ele vive, temor não háMas eu bem sei, eu sei que a minha vidaEstá nas mãos do meu Jesus, que vivo estáPorque Ele vive, posso crer no amanhãPorque Ele vive, temor não háMas eu bem sei, eu sei que a minha vidaEstá nas mãos do meu Jesus, que vivo estáEstá nas mãos do meu Jesus, que vivo está"
Hozier,Too Sweet,"It can't be said I'm an early birdIt's ten o'clock before I say a wordBaby, I can never tellHow do you sleep so wellYou keep tellin' me to live rightTo go to bed before the daylightBut then you wake up for the sunriseYou know you don't gotta pretendBaby, now and thenDon't you just wanna wake up, dark as a lakeSmellin' like a bonfire, lost in a haze?If you're drunk on life, babe, I think it's greatBut while in this worldI think I'll take my whiskey neatMy coffee black and my bed at threeYou're too sweet for meYou're too sweet for meI take my whiskey neatMy coffee black and my bed at threeYou're too sweet for meYou're too sweet for meOh-oh-oh-oh-oh, oh-oh-oh-oh-oh-ohOh-oh-oh-oh-oh, oh-oh-oh-oh-oh-ohI aim lowI aim true and the ground is where I goI work late where I'm free from the phoneAnd the job gets doneBut you worry some, I knowBut who wants to live forever, babe?You treat your mouth as if it's heaven's gateThe rest of you like you're the TSAI wish I could go alongBabe, don't get me wrongYou know you're bright as the morning, as soft as the rainPretty as a vine, as sweet as a grapeIf you can sit in a barrel, maybe I'll waitUntil that dayI'd rather take my whiskey neatMy coffee black and my bed at threeYou're too sweet for meYou're too sweet for meI take my whiskey neatMy coffee black and my bed at threeYou're too sweet for meYou're too sweet for meOh-oh-oh-oh-oh, oh-oh-oh-oh-oh-ohOh-oh-oh-oh-oh, oh-oh-oh-oh-oh-ohOh-oh-oh-oh-oh, oh-oh-oh-oh-oh-ohOh-oh-oh-oh-oh, oh-oh-oh-oh-oh-ohI take my whiskey neatMy coffee black and my bed at threeYou're too sweet for meYou're too sweet for me"
Renascer Praise,Escape,"O inimigo tenta laços e embaraçosPra me envergonhar, mas não vaiPorque eu não estou sozinho nessa guerraEstá comigo o braço forte do SenhorAquele que acalma o ventoAquele que aquieta o marQue tira a força do fogoE faz o leão jejuarO Deus que derruba as muralhasDa estéril faz mãe de filhosÉ o mesmo que brada do altoNão temas, sou contigoDeus já tem um caminho aberto pelas águasFaz romper muitas fontes em meio ao desertoHaverá nuvens que trazem chuvas de bênçãosOuça a voz, Deus te dá escape e livramentoO inimigo tenta laços e embaraçosPra me envergonhar, mas não vaiPorque eu não estou sozinho nessa guerraEstá comigo o braço forte do SenhorAquele que acalma o ventoAquele que aquieta o marQue tira a força do fogoE faz o leão jejuarO Deus que derruba as muralhasDa estéril faz mãe de filhosÉ o mesmo que brada do altoNão temas, sou contigoDeus já tem um caminho aberto pelas águasFaz romper muitas fontes em meio ao desertoHaverá nuvens que trazem chuvas de bênçãosOuça a voz, Deus te dá escape e livramentoDeus já tem um caminho aberto pelas águasFaz romper muitas fontes em meio ao desertoHaverá nuvens que trazem chuvas de bênçãosOuça a voz, Deus te dá escape e livramentoAquele que acalma o ventoAquele que aquieta o marQue tira a força do fogoE faz o leão jejuarO Deus que derruba as muralhasDa estéril faz mãe de filhosÉ o mesmo que brada do altoNão temas, sou contigoDeus já tem um caminho aberto pelas águasFaz romper muitas fontes em meio ao desertoHaverá nuvens que trazem chuvas de bênçãosOuça a voz, Deus te dá escape e livramentoLeão da Tribo de JudáRei dos Reis reina para sempreLeão da Tribo de JudáRei dos Reis reina para sempreLeão da Tribo de JudáRei dos Reis reina para sempreLeão da Tribo de JudáRei dos Reis reina para sempreReina para sempreReina para sempreDeus já tem um caminho aberto pelas águasFaz romper muitas fontes em meio ao desertoHaverá nuvens que trazem chuvas de bênçãosOuça a voz, Deus te dá escape e livramento"
